cat,x,y
1,76.533,94.493
2,90.957,126.35
1,87.952,84.351
3,97.639,74.144
2,85.629,129.72
3,89.613,63.608
2,107.32,140.28
2,121.04,119.98
1,76.165,80.21
1,69.83,103.95
1,64.79,77.371
4,133.64,103.47
3,91.988,65.829
3,99.84,81.41
3,110.69,65.784
1,68.218,104.29
3,98.031,85.915
2,98.916,142.17
4,132.46,93.55
1,72.087,111.01
2,104.43,118.43
1,81.771,111.11
4,123.04,92.771
4,131.93,115.75
3,99.288,68.199
4,116.47,89.716
4,123.55,93.888
2,86.198,132.76
4,133.66,106.89
2,91.934,128.11
3,107.7,80.542
2,105.67,113.86
1,71.365,100.47
1,54.54,100.59
1,65.225,109.44
3,104.76,75.866
2,101.76,128.04
2,98.909,143.28
4,133.95,86.606
4,119.86,94.212
3,106.33,61.389
1,71.068,87.646
2,120.28,123.72
3,98.642,67.085
1,88.565,90.106
3,115.87,77.242
4,111.72,105.18
2,89.205,134.14
2,94.161,140.32
3,99.035,89.404
4,125.82,82.164
1,80.01,106.7
4,119.71,97.126
1,61.808,120.11
1,61.901,110.73
3,91.959,81.369
3,113.3,55.992
4,129.5,98.678
2,91.782,124.11
2,94.558,127.32
4,131.28,106.85
1,65.618,91.433
3,103.65,80.325
2,97.391,130.76
1,56.58,97.892
1,81.446,97.614
4,122.27,97.825
4,131.92,123.13
2,97.76,139.67
1,76.811,106.37
2,107.98,122.28
4,129.56,104.72
1,73.609,100.08
2,100.73,116.58
3,90.919,50.4
2,94.481,130.18
2,93.953,116.25
3,82.918,60.697
3,87.689,64.684
4,138.79,110.53
3,93.668,67.523
4,108.87,89.02
4,124.48,113.37
3,103.41,73.775
3,102.05,85.178
1,65.882,90.463
3,100.56,73.971
3,107.49,67.776
1,77.858,103.26
3,106.68,75.35
4,139.88,103.12
4,104.74,95.854
4,136.69,95.045
4,127.55,108.75
2,105.49,142.37
2,86.987,137.73
2,90.988,115.65
1,71.973,116.23
1,75.413,94.694
1,60.98,93.568
3,104.84,64.581
1,66.984,90.416
3,117.5,78.019
4,106.55,94.586
1,77.531,86.067
3,104.76,57.815
3,106.8,73.142
3,92.969,69.134
1,66.681,92.02
2,114.68,141.24
4,134.62,92.051
4,146.57,88.563
4,149.85,85.663
1,71.871,91
3,101.83,70.986
2,107.71,136.73
3,109.59,66.144
3,98.179,69.092
1,77.653,103.19
4,136.74,101.5
1,65.272,109.84
2,84.361,143.25
3,107.85,71.129
2,103.03,121.99
4,109.02,110.12
4,121.1,94.577
4,136.64,100.6
4,136.03,94.356
3,101.7,60.196
2,115.33,116.76
1,58.261,103.39
2,104.89,113.38
2,98.577,125.95
4,127.27,101.29
1,64.475,77.533
3,80.613,64.8
1,63.689,99.325
3,96.499,80.838
2,106.4,126.84
3,107.91,64.381
1,67.513,120.72
3,109.42,76.845
4,123.18,102.5
1,82.204,101.04
1,71.138,121.68
2,91.971,124.15
4,121.5,110.05
3,99.222,84.464
2,102.79,116.42
2,100.19,133.48
2,92.905,122.1
2,93.601,125.3
3,105.35,81.111
2,95.353,130.86
4,139.65,97.568
3,94.408,49.697
4,137.08,98.541
1,67.057,102.81
3,101.55,83.49
1,69.965,86.568
2,75.797,136.11
1,76.401,95.296
4,136.19,96.662
2,112.36,123.11
4,140.38,105.71
4,154.99,97.41
4,124.48,113.5
4,118.19,104.74
3,94.301,69.413
4,124.18,129.49
4,116.71,100.27
1,62.668,107.74
4,118.45,107.25
1,65.786,99.051
4,121.21,99.186
3,103.61,74.101
1,72.593,121.4
2,97.348,129.19
3,105.5,79.112
4,114.9,101.9
1,64.793,86.673
2,107.17,132.04
1,69.085,87.081
2,105.47,122.04
1,56.686,103.6
2,93.356,125.65
4,122.53,84.582
3,91.337,66.395
3,97.692,64.121
2,109.23,139.79
2,103.5,142.9
3,95.99,78.373
2,113.65,134.47
3,100.69,64.568
1,83.552,92.867
2,100.12,137.38
2,103.57,102.01
1,66.948,106.22
4,140.82,100.94
2,87.138,149.74
2,101.59,128.67
1,71.812,78.352
3,94.348,71.337
4,136.27,109.16
2,96.998,144.9
2,111.17,126.9
2,90.24,128.23
2,108.67,117.67
1,75.503,120.2
3,102.59,83.574
1,39.473,74.96
3,89.956,64.863
3,102.56,50.881
2,97.072,123.33
3,101.38,73.017
3,106.79,73.195
4,132.98,98.246
3,117.2,70.548
2,118.28,134.39
1,72.507,95.076
1,63.81,110.56
3,88.072,90.552
1,64.871,105.03
4,131.37,96.305
1,70.185,112.66
3,94.46,89.864
3,88.157,69.825
2,107.74,151.82
3,93.065,64.704
4,127.71,107.19
4,135.33,94.302
4,123.6,102.77
2,87.327,119.11
4,121.88,109.92
4,131.56,93.748
4,133.52,113.66
4,124.5,100.25
1,77.574,106.8
2,104.71,119.43
2,103.32,134.06
3,99.869,69.579
2,88.952,121.92
4,128.04,100.7
3,104.93,74.325
1,67.698,96.766
4,125.76,107.77
2,88.929,109.56
4,117.85,104.56
3,93.178,65.476
2,100.41,124.77
4,140.14,112.93
1,66.167,70.699
1,53.133,82.592
2,98.277,121.06
2,92.588,154.28
3,92.946,88.156
4,124.01,108.19
3,108.76,66.537
4,128.97,121.71
2,108.88,124.8
1,71,111.16
2,104.98,107.99
3,93.937,62.462
3,95.849,76.65
2,101.51,136.75
3,98.016,72.591
3,95.479,69.394
1,54.726,102.95
1,75.685,119.72
1,74.84,110.41
2,103.37,147.21
4,128.38,97.975
4,124.25,90.883
3,95.039,77.257
1,66.881,103.13
2,106.93,125.34
4,113.39,91.561
3,102.26,91.893
1,83.69,97.759
1,74.093,102.45
3,86.696,51.709
3,103.29,70.961
4,120.98,109.66
4,113.2,100.19
4,122.33,91.673
1,85.896,100.23
1,57.944,87.101
1,88.689,98.299
4,102.15,115.69
2,97.858,128.19
1,87.703,99.619
1,56.413,94.264
1,69.659,95.394
3,82.785,71.596
4,111.85,106.14
2,91.631,131.59
1,87.638,87.9
2,113.92,134.08
4,137.02,95.216
3,97.064,60.284
1,63.482,91.567
2,105.36,117.7
1,78.227,104.33
3,100.29,72.852
4,139.57,102.71
4,127.92,108.38
1,70.98,97.498
4,129.02,91.02
1,64.013,119.66
4,125.05,99.471
4,122.11,98.63
3,115.03,82.638
3,91.562,71.13
3,116.82,91.335
1,90.49,90.771
2,98.53,129.25
2,85.609,129.03
3,79.562,79.509
1,55.968,101.51
1,76.145,86.468
2,84.963,129.49
3,106.52,71.449
3,106.31,69.963
3,101.55,85.011
2,104.87,128.24
1,64.7,97.217
1,74.121,97.48
1,72.589,103.31
1,69.854,99.217
3,103.9,52.984
4,124.5,78.177
4,122.82,101.77
4,143.61,95.96
3,113.79,95.295
2,104.77,137.2
3,94.807,71.083
4,131.21,122.03
4,109.3,94.724
2,107.72,122.85
1,68.49,100.38
2,108.73,146.08
2,81.79,111.54
2,81.981,122.2
2,94.876,128.97
2,91.665,129.79
2,87.545,133.79
2,107.25,127.76
4,124.09,118.91
2,113.07,114.09
2,95.906,128.14
4,140.93,83.272
2,110.45,128.43
4,135.33,107.93
3,88.153,75.402
2,110.02,129.03
3,95.845,83.32
1,70.798,95.527
1,90.34,116.9
3,88.909,58.429
1,70.559,113.66
1,71.674,104.66
1,80.145,103.81
3,98.473,67.976
4,137.8,100.42
4,131.4,98.805
1,64.865,97.452
1,69.114,108.52
1,73.17,85.193
3,101.08,80.825
2,104.24,138.9
4,127.71,94.534
2,77.996,133.37
4,112.1,90.087
3,98.49,82.627
4,122.08,84.683
3,114.03,71.214
4,108.93,81.938
1,64.004,91.564
4,125.02,87.037
3,101.69,71.413
2,89.463,121.33
4,132.73,92.579
3,80.524,83.775
3,95.81,77.826
2,96.262,137.63
1,73.671,95.878
4,116.98,121.04
2,119.77,117.65
2,94.916,127.7
1,59.37,85.034
1,74.074,99.646
4,130.3,108.11
3,94.894,72.019
1,82.093,84.705
2,103.34,114.1
3,105.37,62.352
3,90.921,64.416
4,129.28,110.85
